seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
00-SEJ7-NLUD	X0027SOZON	B000SHMQW0	NewItem	SELLABLE	0
50-TE47-EAYK	X0021O2T37	B01IAEO1R0	NewItem	SELLABLE	0
2V-D9YY-QODO	X001WBMSUT	B07N25MXHJ	NewItem	SELLABLE	0
2X-PLO6-ZNPZ	X0025MO23Z	B01N2IOQS2	NewItem	SELLABLE	0
2W-H4R9-II4X	X002F6325F	B07Q31YYKX	NewItem	SELLABLE	2
03-K719-IZVV	X0021LIRNV	B00RYRSNXI	NewItem	SELLABLE	14
3R-O8KS-ITJ6	B0038TYTSO	B0038TYTSO	NewItem	SELLABLE	0
39-2UYV-ERV2	X0021C2W45	B0039L8JF0	NewItem	SELLABLE	0
1G-AGFB-G42Y	X0020CLXR3	B01KU2XQ6C	NewItem	SELLABLE	0
5B-4S60-SI9G	X001RGUK7H	B09LN2XKKQ	NewItem	SELLABLE	0
0U-A8N4-X4V9	X0021WK73N	B01CTBEE8G	NewItem	SELLABLE	0
3P-BU9M-TZED	X0025YACTL	B005TVH7C4	NewItem	SELLABLE	0
1B-03LX-AT8L	B07RQCTH7Y	B07RQCTH7Y	NewItem	SELLABLE	0
2T-6DXK-P84I	X002FL1IID	B0883H62D4	NewItem	SELLABLE	0
5G-TU53-7RMA	X002FRA2WZ	B0FXY3SZSC	NewItem	SELLABLE	2
12-REIY-M109	X001RGUPQX	B07N7MWX72	NewItem	SELLABLE	0
4K-WEPS-L3CS	X002AE1J11	B084GYF7CF	NewItem	SELLABLE	0
6M-SVYW-VZN4	X0020OK2O1	B083FZ7HPC	NewItem	SELLABLE	0
5V-N0KC-8279	X002E6ME69	B09NCTFM6B	NewItem	SELLABLE	0
5J-M919-XYC8	B0929877HD	B0929877HD	NewItem	SELLABLE	0
3R-FBNF-KE4A	X0020R45F5	B08G26V86N	NewItem	SELLABLE	0
2W-Z97R-Y700	X0021IWRY9	B07WDSDCP2	NewItem	SELLABLE	0
3L-S88R-ERB0	X0024ZCIX9	B015T904QQ	NewItem	SELLABLE	0
5G-98CL-A7ZB	X0021IU5VL	B014DGGA2S	NewItem	SELLABLE	0
0K-SNEA-MIMU	X0020NFB89	B00L33XYWE	NewItem	SELLABLE	0
1M-FE3X-PWID	X0020JQZ3X	B000TGKMZS	NewItem	SELLABLE	0
6C-JW70-ODEJ	X0021KRCAB	B071LNN3XJ	NewItem	SELLABLE	0
6K-F28V-3RJZ	X0021WK751	B00692Q9IU	NewItem	SELLABLE	0
3M-NN2Z-2LDT	X0028I4A97	B07RTQ4VM7	NewItem	SELLABLE	0
5Z-2OJ6-0S91	X0021WK74H	B009RTW1IO	NewItem	SELLABLE	0
0C-ZNL3-2WI8	X0029XRJPD	B07JQ61ZWB	NewItem	SELLABLE	2
3V-UDGM-MMMC	X0021O2T41	B00MW38L86	NewItem	SELLABLE	0
4Q-EW0U-KKIM	X002BAAQXB	B000CNTT9I	NewItem	SELLABLE	0
4R-M4DL-1WZ7	X0025651XL	B003XZQ8UA	NewItem	SELLABLE	0
3A-KW3X-H7EP	X0023V2F9L	B0038TYTSO	NewItem	SELLABLE	0
29-HJHV-VC4M	X0027XRHJX	B0C1NKCN8W	NewItem	SELLABLE	0
5J-A2IY-9HNQ	X0020CLXSR	B01KU2XPMC	NewItem	SELLABLE	0
1U-UWCI-6SHY	X0022LIJV5	B00E1L8QIC	NewItem	SELLABLE	0
1D-L3V4-TXSK	X0026DMJIN	B01IAEU6M4	NewItem	SELLABLE	0
3K-RNE6-811B	X0021XDZOP	B08QDVNDMB	NewItem	SELLABLE	1
4Z-HA27-XO9R	X002ADZ13J	B088PN91KK	NewItem	SELLABLE	9
1X-XO5B-HVP3	X00297JZF1	B01N9QGSKU	NewItem	SELLABLE	0
2Y-1M1I-CWC7	B085LJP3JL	B085LJP3JL	NewItem	SELLABLE	0
4U-U97Z-DYR8	X0022OFJ01	B0CT8ZV2BB	NewItem	SELLABLE	0
6M-2OWR-IDBH	X002DZ6HTV	B0D525ZW7M	NewItem	SELLABLE	24
6M-2OWR-IDBH	X002DZ6HTV	B0D525ZW7M	NewItem	UNSELLABLE	2
28-KSIM-OPKB	X001T8I7Q9	B07767BPYJ	NewItem	SELLABLE	0
5Y-MYQP-H3YS	X0028YUX9H	B008JYH6FQ	NewItem	SELLABLE	0
5R-4BU9-FVQ5	X001T9NVT1	B003V5KWWM	NewItem	SELLABLE	0
6A-SE69-4V0E	X001UUXJDH	B073XS4TXS	NewItem	SELLABLE	0
5H-NKL2-D7KV	X0027SPOEN	B00O32UOBQ	NewItem	SELLABLE	0
4X-J7LQ-UYCS	X0020N7J6L	B01L4S90IE	NewItem	SELLABLE	0
0Y-WU7D-23K4	X0029JLA0R	B07S3JNTB4	NewItem	SELLABLE	1
1A-QZIZ-SULS	X002AD1WZP	B07GNVFSVR	NewItem	SELLABLE	0
4V-MJHE-GY57	X0022USFFB	B08QDV5NRV	NewItem	SELLABLE	0
3A-HQE0-4ZXD	X0025S8ROT	B004Q85822	NewItem	SELLABLE	2
4L-FOG4-GVYU	X0029JDI8J	B0CJDZK2CC	NewItem	SELLABLE	0
1C-SR17-5IFP	X0029I4OPL	B012AI2XRM	NewItem	SELLABLE	2
1C-SR17-5IFP	X0029I4OPL	B012AI2XRM	NewItem	UNSELLABLE	1
68-20HU-2CR9	X0021IW1ZT	B072PTZFD7	NewItem	SELLABLE	0
0C-NMXX-ZLPX	X0025S94AP	B0097OXE4O	NewItem	SELLABLE	0
1B23-Q79D-SC16	X0022ULYGN	B0C1BB1LC4	NewItem	SELLABLE	0
1M-HLA7-MMT2	X0029T3H7V	B00TB00HQW	NewItem	SELLABLE	0
64-CHH5-Q6D8	X002CCW5DH	B082P4118C	NewItem	SELLABLE	0
1H-ZIXG-0S3M	X002E6GJ51	B001FORJXQ	NewItem	SELLABLE	0
6I-EA9C-CQFZ	B010B0G9P8	B010B0G9P8	NewItem	SELLABLE	0
01-7DUZ-UP4T	X0027XCLAD	B00TSK7F56	NewItem	SELLABLE	0
3L-B9S7-CUVN	X001UUXJ9B	B076CSFM9C	NewItem	SELLABLE	0
6D-F073-RFUN	X002DZ3BW7	B0038TYTSO	NewItem	SELLABLE	17
43-LWX7-OPKH	X0026GYP3H	B00BRWPM1C	NewItem	SELLABLE	0
1O-I2JQ-CBQO	X0021MT7B1	B00BHIU3R4	NewItem	SELLABLE	0
0L-TKCV-8JG8	X0021VVB0H	B0094WEUOW	NewItem	SELLABLE	0
1Z-M3V7-DOPV	X00234P9TL	B00FVXEX86	NewItem	SELLABLE	0
1L-KGTV-N1I3	X0025ZE8CR	B00BNRFJRI	NewItem	SELLABLE	0
1K-5RIM-NBNW	X0021ITLJ3	B075DHYL5F	NewItem	SELLABLE	0
08-0JF6-CQVL	X0020OQ033	B00Z9DAI8W	NewItem	SELLABLE	0
1E-8BPC-SV96	X00262J0F9	B09NYJFL9Q	NewItem	SELLABLE	0
